"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route_id","codigo-de-sub-ramal","descripcion","destino",
3373,3608,"G-11-T11",0,1,"T11999",111,"p.m.-centro-unimev","NULL","centro"
3371,3608,"G-11-T11",1,0,"T11999",121,"unimev-centro-p.m","NULL","centro"
3369,3608,"G-11-T11",1,0,"T11999",122,"unimev-centro-p.m","NULL","centro"
3038,3209,"G-05-177",1,1,112177,112177," 177 B LA FAVORITA","NULL",
3041,3209,"G-05-177",0,1,112177,112177,"112 UNC H CTRAL.L.H","NULL",
3044,3209,"G-05-177",1,1,112177,112177,"177-B LA FAVORITA","NULL",
3124,3209,"G-05-177",1,1,112177,112177,"112B FAVORITA.DIRETO","NULL",
3128,3209,"G-05-177",0,1,112177,112177,"112-UNC C.H.CTRA.L H","NULL",
3129,3209,"G-05-177",1,1,112177,112177,"112-B LA FAVORITA","NULL",
3137,3209,"G-05-177",1,1,112177,112177,"112LCEO.H CETRAL.L H","NULL",
3138,3209,"G-05-177",1,1,112177,112177,"112-UNC.B FAVORITA-","NULL",
3142,3209,"G-05-177",1,1,112177,112177,"112-UNC B FAVORITA","NULL",
3143,3209,"G-05-177",0,1,112177,112177,"112-UNC C CTRO.L H","NULL",
3141,3218,112197,0,0,112177,112177,"112-UNC.H CETRAL L H","NULL",
3045,3210,"G-05-178",0,1,112178,112178,"178-UNC GRAL PAZ.L H","NULL",
3080,3210,"G-05-178",1,1,112178,112178,"178-UNC-B FAVORITA","NULL",
3144,3210,"G-05-178",1,1,112178,112178,"112-B FAVORITA","NULL",
3145,3210,"G-05-178",0,1,112178,112178,"112UNC.C.GRL PAZ L H","NULL",
3146,3210,"G-05-178",1,1,112178,112178,"112-EXSO.CTROx.G PAZ","NULL",
3148,3210,"G-05-178",0,1,112178,112178,"112UNC CTROx GRL PAZ","NULL",
3149,3210,"G-05-178",1,1,112178,112178,"112-UNC.B FAVORITA","NULL",
3150,3210,"G-05-178",0,1,112178,112178,"112-UNC.Cx GRAL PAZ","NULL",
3151,3210,"G-05-178",1,1,112178,112178,"112UNC.B LA FAVORITA","NULL",
3152,3210,"G-05-178",1,1,112178,112178,"112UNC.CTROx grl paz","NULL",
3054,3211,"G-03-179",1,1,112179,112179,"112 NOTTI-UNC-B FAV","NULL",
3056,3211,"G-03-179",0,1,112179,112179,"112 B OLIV-CENTRO","NULL",
3055,3222,"G-03-180",1,1,112180,112180,"112-NOTTI-UNC.FAVOR","NULL",
3057,3222,"G-03-180",0,1,112180,112180,"112-CTRO.NOTTI.V.N","NULL",
3065,3212,112181,1,0,112181,112181,"112-EXPRESO.CENTRO.","NULL",
3066,3212,112181,0,0,112181,112181,"112-FAVORITA-UNC","NULL",
3068,3230,112182,1,0,112182,112182,"112EXSO.CTRO.H CTRAL","NULL",
3070,3230,112182,0,0,112182,112182,"112-FAVORITA-UNC","NULL",
3125,3230,112182,0,0,112182,112182,"112-EXPRESO-CENTRO","NULL",
3131,3230,112182,0,0,112182,112182,"112CETROxH CETRA.L.H","NULL",
3072,3223,112184,1,0,112184,112184,"112B FAVORITA-UNC","NULL",
3073,3223,112184,0,0,112184,112184,"112-CTRO-L.HX.GRAL.P","NULL",
3074,3224,112185,1,0,112185,112185,"112-B LA.FAVORITA","NULL",
3075,3224,112185,0,0,112185,112185,"112-UNC.H.C CTROL.LH","NULL",
3086,3214,"G-05-191",1,1,112191,112191,"112ESC V CRRA.ESC S","NULL",
3089,3214,"G-05-191",0,1,112191,112191,"112.ESCOLAR.L.FAVORT","NULL",
3091,3216,112194,0,0,112194,112194,"112-ESC EVA PERON","NULL",
3097,3216,112194,1,0,112194,112194,"112-ESC-EVA PERON","NULL",
3101,3216,112194,1,0,112194,112194,"112ESC.EVA.PERN.B F","NULL",
3106,3216,112194,0,0,112194,112194,"112UNCCOMPL.GRAL.PAZ","NULL",
3113,3217,112195,1,0,112195,112195,"112-CTRO DIREC-H C","NULL",
3114,3217,112195,0,0,112195,112195,"112-CONTROL L HERAS","NULL",
3115,3219,112196,1,0,112196,112196,"112-L HERAS.CENTRO","NULL",
3116,3219,112196,0,0,112196,112196,"112-UNC.B FAVORITA","NULL",
3118,3218,112197,1,0,112197,112197,"112EXPRESO CTROxH C","NULL",
3119,3218,112197,0,0,112197,112197,"112B FAVORITA DIRCTO","NULL",
3120,3226,112198,1,0,112198,112198,"112 EXP-CTROx G.PAZ","NULL",
3121,3226,112198,0,0,112198,112198,"112B FAVORITA DIRETO","NULL",
3357,3227,112214,1,0,112214,112214,"112-FAVOTA.UNC.FUENT","NULL",
3360,3227,112214,0,0,112214,112214,"112-FAV.UNCxH.CENTRL","NULL",
3356,3228,112215,1,0,112215,112215,"112BÂºFAVOTA.UNC.FUET","NULL",
3361,3228,112215,0,0,112215,112215,"112-FAV.UNCxGRAL.PAZ","NULL",
3076,3225,113190,1,0,113190,113190,"113FAVORITA.OLIVARES","NULL",
3084,3225,113190,0,0,113190,113190,"113CTRO.LHX.GRAL PAZ","NULL",
